datatime,value
1/1/2012 0:10,52.1147
1/1/2012 0:15,50.9517
1/1/2012 0:20,49.8164
1/1/2012 0:25,49.1795
1/1/2012 0:30,47.6288
1/1/2012 0:35,49.1241
1/1/2012 0:40,50.3979
1/1/2012 0:45,51.284
1/1/2012 0:50,49.7056
1/1/2012 0:55,51.6994
1/1/2012 1:00,49.8441
1/1/2012 1:05,47.075
1/1/2012 1:10,46.8811
1/1/2012 1:15,45.0812
1/1/2012 1:20,48.3487
1/1/2012 1:25,45.3581
1/1/2012 1:30,42.9767
1/1/2012 1:35,42.3951
1/1/2012 1:40,41.869
1/1/2012 1:45,41.7029
1/1/2012 1:50,40.2906
1/1/2012 1:55,41.6752
1/1/2012 2:00,39.0168
1/1/2012 2:05,40.7337
1/1/2012 2:10,37.6046
1/1/2012 2:15,38.5461
1/1/2012 2:20,38.5461
1/1/2012 2:25,38.9061
1/1/2012 2:30,39.4322
1/1/2012 2:35,37.6046
1/1/2012 2:40,32.7586
1/1/2012 2:45,34.3924
1/1/2012 2:50,34.8078
1/1/2012 2:55,33.894
1/1/2012 3:00,36.22
1/1/2012 3:05,37.5492
1/1/2012 3:10,37.0508
1/1/2012 3:15,35.3062
1/1/2012 3:20,36.4139
1/1/2012 3:25,36.6077
1/1/2012 3:30,35.0293
1/1/2012 3:35,37.8261
1/1/2012 3:40,36.9123
1/1/2012 3:45,37.743
1/1/2012 3:50,38.7953
1/1/2012 3:55,37.4661
1/1/2012 4:00,35.9431
1/1/2012 4:05,37.5215
1/1/2012 4:10,37.3831
1/1/2012 4:15,38.463
1/1/2012 4:20,35.5554
1/1/2012 4:25,37.4107
1/1/2012 4:30,37.4384
1/1/2012 4:35,37.8815
1/1/2012 4:40,38.0476
1/1/2012 4:45,38.1861
1/1/2012 4:50,38.3522
1/1/2012 4:55,36.0539
1/1/2012 5:00,37.1892
1/1/2012 5:05,37.6877
1/1/2012 5:10,35.2231
1/1/2012 5:15,35.5277
1/1/2012 5:20,35.5277
